,sentence,logprob.Copy+SS,logprob.NoCopy,length,check.prob.copy+ss,n.parses.copy+ss
0,ait.aiw.aix.aiw.aix.ait,-21.386513,-24.971246,6,-21.38651341265318,402
1,agc.agc,-6.542484,-9.496428,2,-6.542484121919942,3
2,aut.aut.afp.aus.aft.aus.aft.aus.afp.bba.bbb.bbc,-42.314761,-48.83658,12,0.0,0
3,aiu.ago.ait,-14.524304,-13.795214000000001,3,-14.52430386514678,6
4,aur.auq,-12.816516,-12.715304,2,-12.81651588231265,2
5,agq.agl.agu.agv.agb.ago.agp.ago.agp,-46.844357,-50.984973,9,-46.844356926423565,41980
6,agx.agx.ahb.ahb.ahd.ahb.ahb.ahd.ahb,-31.116914,-44.943682,9,-31.1169142508243,65974
7,ait,-4.594466000000001,-4.911881,1,-4.59446615828,1
8,awx.arn.aiw.aiy.ajd,-29.120795,-26.974695,5,-29.120794979637992,90
9,agf,-5.5263800000000005,-5.659095,1,-5.5263800153,1
10,aiw.aix.aiw.aix.aiw.aix.aiz.aje.aiu.ago.ait,-41.099402000000005,-45.759005,11,-41.09940231306803,1081054
11,afq.afq.afr.afs.aft.afu.afu.afu.afu.afp.afn.afo.afn,-51.699321000000005,-60.65786800000001,13,0.0,0
12,baw.baw.bba.ave.ave.bbl.bbl.aut.aob.aob.aob.bbj.bbk.bbj.bbk.aaw.bbj,-73.329656,-90.024152,17,0.0,0
13,bbc.aut.aut.aut,-16.009757,-15.896797,4,-16.009756696981693,29
14,ahb.ahd,-11.056047999999999,-11.20595,2,-11.056048000493377,2
15,agq.agu,-11.201103999999999,-11.365377,2,-11.20110384950256,2
16,ait,-4.594466000000001,-4.911881,1,-4.59446615828,1
17,agq.agf.ago.agp.ago,-24.544563,-24.016709,5,-24.544563309092425,90
18,bbf.bbd.bbd.bbd.bbe.bbd.bbe.bbd.bbd.bbf.bbg.bbh.bbg,-59.809541,-64.246913,13,0.0,0
19,aja.aiz,-9.769665,-9.780941,2,-9.769665363220863,2
20,ava.ava,-7.090381,-10.343726,2,-7.090381357436398,3
21,bbd.bbf.bbd.bbg.bbh.bbg.bbh.bbf.bbd.bbf.bbd.bbf.bbd.bbf,-59.390039,-70.518754,14,0.0,0
22,agf,-5.5263800000000005,-5.659095,1,-5.5263800153,1
23,aiw.aix.aiw.aix.aiw.aix.aiw.aix,-12.722688,-31.781973999999998,8,-12.722687926308254,9228
24,ago.agp.ago.agp.ago.agc.agc.agw.agc.agt.ags,-45.343482,-53.800073,11,-45.343481665696515,1215170
25,aiw.aiz.aje.aiz.aiw.aix.aiw,-30.08861,-28.008498,7,-30.08861017147618,1806
26,aaw.baw.baw.bax.bay.baw.baw.aob,-36.132479,-34.110495,8,-36.132479475493156,11256
27,agq.agu,-11.201103999999999,-11.365377,2,-11.20110384950256,2
28,afp,-4.203976,-4.720825,1,-4.20397616018,1
29,ahm.ahm.ahm.ahm.nfr.afn.afo.afn.afp.afn.afo.afn.afp,-42.778188,-75.017646,13,0.0,0
30,afp.aus.atk.aus.afp.bba,-27.799557,-25.726779999999998,6,-27.79955716121578,394
31,baw.ava.ava.bbg.bbh.bbg.bbh.bbf.bbd.bbf.bbd.bbe.bbd.bbe.bbd.bbd.bbf,-63.648736,-83.510238,17,0.0,0
32,aob.aob.aob.aut.bba.bbb.bbc.bba,-28.479221999999996,-27.746598,8,-28.479222195814007,11776
33,aft.afq.afr,-15.566282999999999,-15.125748999999999,3,-15.566282856514094,6
34,aix.aiw.aix.aiw.aix.aiw.aix.aiy.ajd.aiy.ajd.aiz.aiu.ago.ait,-52.799801,-60.884620999999996,15,0.0,0
35,ago.afq.afw.afx.afw,-30.246826000000002,-29.717740999999997,5,-30.24682635568123,90
36,bbe.bbd.bbe.baw.baw.bax.bay.baw.baw,-40.926332,-40.300678000000005,9,-40.92633230106196,52581
37,ahg.ahg,-8.26093,-13.051776,2,-8.260929501478435,3
38,aut.aut.bba.bbb.bbc.bba.bbb.bbc.bbf.bbd.bbf,-36.294039,-41.607591,11,-36.29403881699213,1245916
39,agc.agc.agh.agi.agb.agk.agl,-43.172299,-46.816738,7,-43.17229928334352,2200
40,ait,-4.594466000000001,-4.911881,1,-4.59446615828,1
41,acs.amb.acs.amb,-13.83566,-20.256337,4,-13.835659822010605,24
42,bbg.bbh.bbg,-18.082494,-17.023457,3,-18.082494057586064,6
43,aob.aob.aob.aut.bba.bbb.bbc.bba.bbb.bbc.baw.baw.bax,-39.702738000000004,-45.504084000000006,13,0.0,0
44,agc.ags.ags,-14.645582000000001,-15.20271,3,-14.645581955321578,7
45,afy.agc.agc.agq,-21.063834,-22.564139,4,-21.063834128078426,26
46,aiz,-4.518446,-5.659095,1,-4.518445690309999,1
47,baw.baw.bax.bay.bba.bbb.bba.bbb.bbc.bba.ava.ava.bbg.bbh.bbg,-59.248918,-62.293780000000005,15,0.0,0
48,ahf.ahf,-9.001412,-14.661214000000001,2,-9.001412326347793,3
49,afp,-4.203976,-4.720825,1,-4.20397616018,1
50,afn.afo.afq.afr.afs.aft,-30.922628999999997,-28.924595,6,-30.92262948100294,394
51,acb.aua,-10.039904,-9.496428,2,-10.039904017550583,2
52,aiw.aiw.aix,-10.554798,-12.537645,3,-10.554797653327897,8
53,amb.acs.amb.aiy.ajd.aiy.ajd.aua.aua.amb.acs.amb,-47.582591,-49.9847,12,0.0,0
54,aiy.ajd.ajd.aiu,-18.055927,-18.387520000000002,4,-18.05592673317672,26
55,afp.aus.atk.aus,-19.755966,-18.652232,4,-19.755966098357614,22
56,bbc.bba.bbb.bbc.bba.bbb.bbc,-19.194460999999997,-25.018615,7,-19.19446050927704,1824
57,ago,-4.851984,-5.29137,1,-4.85198378633,1
58,aur.auq.aur.bba.bbb.bbc.afp.aus.atk.aus.afp.bbc.bba.bbb.bbc,-66.798474,-62.867329000000005,15,0.0,0
59,aut.aut.aut.aut.afp.afp.ava.ava.bbd.bbf.bbd.bbe.bbf.bbe.bbf.bbd,-56.52460500000001,-70.542589,16,0.0,0
60,bba.bbb.bba.bbb.bbc.bba.bbb.bbc.neq,-30.155172999999998,-35.427465999999995,9,-30.155173468268035,42458
61,bay.baw.baw.bax.bay.bba.bbc.bba.bbb.bbc.bba.bbb.bbc,-44.719179,-47.814153999999995,13,0.0,0
62,aob.aob.aob.aut.aut.afp.aus.atk.aus.afp.ava.ava,-46.330276,-49.547056,12,0.0,0
63,aob.aob.aob.bba.bbb.bbc.bba.bbb.bbc.baw.baw.bax.bay.aut.aut.bbf,-51.817898,-58.587805,16,0.0,0
64,aiz.aja,-9.235119000000001,-10.066094,2,-9.235118560551793,2
65,aut.bba.bbb.bba.bbb.bbc.bba.bbb.bbc.avc.avb.avc.aut.aut.aut.aut.afp,-51.733924,-59.616437,17,0.0,0
66,bbd.bbf.bbd.bbd.bbe.bbd.bbe.bbd.bbg.bbh.bbg.bbh.bbg.baw.baw.bax.bay,-69.65023000000001,-81.602972,17,0.0,0
67,agc.agq.agu.ahb.ahb.ahd.ahb.ahb.ahd,-32.464997,-42.945128000000004,9,-32.4649971154181,53704
68,amb.acs.aiz.aja.aiz,-22.436401999999998,-21.818842999999998,5,-22.436402281088075,90
69,ait.aiw.aix.aiw.aix,-16.720372,-20.363576000000002,5,-16.72037158265147,92
70,aut.aut.aob.aob.aob.bba.bbb,-23.201002,-24.203885,7,-23.201002465527917,2876
71,afp.aus.atk.aus,-19.755966,-18.652232,4,-19.755966098357614,22
72,ajf.ajf.aua.aua,-15.463409,-19.268302,4,-15.463408562824565,32
73,aus.atk.aus.bba.bbb.bbc.bba.bbb.bbc.bba.bbb.bbc,-40.601107,-44.815211,12,0.0,0
74,aiw,-4.111343,-4.811797,1,-4.11134332222,1
75,aje,-5.447919000000001,-6.246882,1,-5.44791923888,1
76,acb.aiy.ajd.aiy.ajd,-17.097313,-20.473717,5,-17.097312750971344,92
77,agw,-7.581171,-7.856319999999999,1,-7.5811711514499995,1
78,afq.afr,-10.238093,-10.854552,2,-10.238092737188383,2
79,aut.baw.baw.bax.bay.baw.baw.bax.bay.baw.ava,-33.419582,-44.741409000000004,11,-33.419581578385795,1368100
80,afy.agc.agc.ago.agp.ago.agp.ago.agc.ags,-40.955501,-48.00953,10,-40.955500682168626,244850
81,aiz.aja,-9.235119000000001,-10.066094,2,-9.235118560551793,2
82,aiw.aiz.aja.aiz.aje.aja.aiz.aiy.ajd.aiy,-42.580224,-39.619973,10,-42.580224434222366,206098
83,bbb.bbc.aut.aut.aut.afp.aus.atk.aus.atk.aus.afp.ava.ava,-52.400560999999996,-59.747477,14,0.0,0
84,aiw.aix.aiw.aix.aiw.aix.aiu.ago.ait.ago.ait.aiz,-40.792425,-49.793329,12,0.0,0
85,aut.afp.aut.aut.bba.bbc.avc.avb.avc.aut.aut.aut.afp.aus.atk,-57.35189200000001,-57.329441,15,0.0,0
86,aut.aut.aut,-9.82451,-11.218074,3,-9.824509868186293,9
87,bbb,-4.989719,-5.910409,1,-4.98971855238,1
88,aiy.ajd.aiu.ago.ait.ago.ait.aiz.aja.aiz,-38.470956,-43.229498,10,-38.47095560761736,208610
89,bba.bbb.bbc.bba.bbb.bbc,-13.828816,-21.258243,6,-13.828816200108761,400
90,avc.aut.aut.aob.aob.aob.ava.ava.bba.bbb.bbc.aob.aob.aob.aob.aut.aut,-56.375919999999994,-63.542278,17,0.0,0
91,aut.bba.bbb.bbc.bba.bbb.bbc,-18.885982000000002,-23.668688,7,-18.88598180809231,1812
92,bba.bbb.bbc.baw.baw.bax.bay.baw.baw,-35.571494,-34.608686,9,-35.571493983977334,52581
93,amb.acs.amb.acs.amb,-17.618114000000002,-23.842356,5,-17.61811403128942,96
94,afp.afn.afo.afn.afp,-23.439911,-22.494475,5,-23.439910880762728,90
95,avc.avb.avc,-17.183826,-16.193109,3,-17.183826473728526,6
96,agc.ags.agq.ago.agp.ago.agp,-29.449276,-32.353499,7,-29.449276388820714,1828
97,bbf,-5.635842,-6.757707000000001,1,-5.6358417347300005,1
98,baw.baw.baw.bax.bay.baw.baw.ave.ave.bbl.bbl.ave,-51.745388,-57.848994999999995,12,0.0,0
99,aiu.ago.ait.ago.ait.aiu.ago.ait.ago.ait,-20.813016,-44.502202000000004,10,-20.813016419443347,210852
100,bba.bbb.bbc.bba.bbb.bbc.bba.bbb.bbc.afp.aus.atk.aus.ava.ava.bba.bbb,-58.190067000000006,-64.311945,17,0.0,0
101,ban.amb.acs.amb.aiz.aja.aiz.ats.aua.aua.ats.aua,-51.506394,-49.57639,12,0.0,0
102,amb.acs.amb.acs.amb,-17.618114000000002,-23.842356,5,-17.61811403128942,96
103,aix.aiy.ajd.aiu.ago.ait.ago.ait.aiz,-36.277649,-38.929266,9,-36.27764904492516,42070
104,ats.aua.ats.aua,-12.712935,-17.767078,4,-12.712935129088924,24
105,bbc.bba.bbb.bbc.bba.bbb.bbc.afp.aus.atk.aus.afp.aut,-46.56763,-50.145247,13,0.0,0
106,aiu.ago.ait.ago.ait.aiz.aja.aiz.aje.aiz.aja.aiz.aiy.ajd.aiy.ajd.aiu,-62.414543,-69.477576,17,0.0,0
107,aiu.ago.ait,-14.524304,-13.795214000000001,3,-14.52430386514678,6
108,aur.auq.aur.auq.aut.aut.aut,-25.467187,-34.616884999999996,7,-25.467186986245906,2303
109,afq.afr.afs.aft.afu.afv.afu.afq.afr.afs.aft.afu.afq.afr,-72.01209899999999,-69.193325,14,0.0,0
110,aiw.aix.aiw.aix,-10.626787,-16.330278,4,-10.626787391384259,24
111,bbf.bbd.bbe.bbd.bbe.bbd.bbd.bbf.bbg.bbh.bbg.bbh.bbg,-55.014291,-65.573624,13,0.0,0
112,auq.aur.aup,-21.607976999999998,-21.717423,3,-21.607977065606914,6
113,aus.avb.avc.avb.avc.avb.avc.ace.acb.bba.bbb.bbc.bba.avb.avc.avb.aob,-68.450056,-69.785072,17,0.0,0
114,agi,-8.008286,-7.856319999999999,1,-8.008286307339999,1
115,aus.afp.bba.bbb.bbc.bba.bbb.bbc.aur.avb.avc.avb.avc.aut.aut.aur.aut,-58.692453,-68.374288,17,0.0,0
116,bbh.bbf.bbd.bbf.bbd.bbf.ava.ava.aob.aob.bbg.bbh.bbg.bbh.bbf.bbd.bbf,-69.7345,-83.216369,17,0.0,0
117,afp.aus.atk.aus.afp.aut,-28.334708000000003,-25.914243,6,-28.334707735877018,394
118,agx.agx.ahc.ahb.ahb.ahd.ahb.ahb.ahb.agq.agr,-53.012593,-57.834348999999996,11,-53.01259315968455,1798592
119,aiw.aix.aiw.aix.aiw.aix.ait,-24.168674,-28.663796,7,-24.168673980653104,1910
120,aut.aut,-5.587726,-7.889278999999999,2,-5.587725974790742,3
121,bba.bbb.bbc.bba.bbb.bbc.bba.bbb.bbc.afp.auq.aur.bba.bbb.bbc.bba.bbb,-59.058813,-62.480573,17,0.0,0
122,aft.afu.afp,-15.39727,-14.191783,3,-15.39726997319945,6
123,bba.bbb.bbc.bba.bbb.bbc.afp.baw.baw.bax.bay.baw.baw.ava.ava.aob.aob,-55.849676,-64.164525,17,0.0,0
124,avb.avc,-9.245167,-9.245114,2,-9.245166638409826,2
125,ago.agp.ago.ago,-17.838102,-17.691388,4,-17.83810152959299,25
126,aiu.ago.ait,-14.524304,-13.795214000000001,3,-14.52430386514678,6
127,amb.acs.amb.acs.ats.aua.aua,-24.398488,-30.955553000000002,7,-24.3984879320981,2053
128,aob.aob.bba.bbb.bbc.bba.bbb,-24.830536,-24.192555,7,-24.830536071928805,2200
129,afs.aft.afu.afu.afq.afr.afs.aft.afu.afs.afu.afu.afu.afu.afs.afq.afr,-73.67854399999999,-80.754515,17,0.0,0
130,bax.bay.baw.baw.baw.baw.bbf.bbd.bbe.bbf.bbe.bbf.bbe.bbf.bbg.bbh.bbg,-74.010029,-81.714127,17,0.0,0
131,bbc.bba.bbb.bbc.bbf.bbe.bbf.bbe.bbe.bbf.avd.bbg.bbh.bbg.bbh,-65.486681,-74.32128,15,0.0,0
132,baw,-4.2383120000000005,-5.910409,1,-4.23831165655,1
133,ats.aua.aua.ats.aua.aua.ats.aiz.aja.aiz.aje.aja.aiz.aja,-47.739637,-57.57996899999999,14,0.0,0
134,agc,-4.472371,-4.811797,1,-4.472370579680001,1
135,ava.ava.ava.bbg.bbh.bbi.bbf.bbd.bbf.avd.bbd.bbf.bbd.bbf.bbd,-72.124617,-79.260374,15,0.0,0
136,ahb.ahb.ahd,-13.130539,-15.498538,3,-13.130538564984706,8
137,ago.ait.aiu,-15.501006,-15.094497,3,-15.501005813972318,6
