sentence logprob.Copy+SS logprob.NoCopy
ago.agp.ago.agp.ago -16.554418 -22.299058
afp -4.203976 -4.720825
aob.aob.aob.aob.bba.bbb -15.857878 -21.337712
ago.agp.ago.agp.ago -16.554418 -22.299058
ban.acb.ban.aiy.ajd.aiy.ajd.ats.aua.aua.aib.amb.acs.amb.acs.aua.aua -63.617446 -73.634460
ait.aiw.aix.aiw.aix.aiy.ajd.aiz.aje.aiz.aiz -39.466163 -42.716927
ban.acb.aiz.aja.aiz.aje.aua.ats.aua.aua.ajf.ajf -50.844839 -51.412447
agp.agq.agq.agr -19.233034 -22.293807
agq.agu.ago.agp -20.678524 -19.869221
avb.avc.bba.bbb.acb.ace.acb.ace.acb.ace.acb.ave.bbl.bbl.ave -64.070786 -71.560385
agp.ago.agc.agt -20.864197 -20.448811
agf.afy.nid -19.453311 -19.268884
aiw.aix.aiw -13.630622 -12.537645
afp.afn.afo.afn.afp -23.439911 -22.494475
aut.afp -8.162756 -8.493698
aix.aiw.aix.aiu.ago.ait.aiz.aiz.aja.aiz.aje.aiu.ago.ait.aiw.aix.aiw -72.424524 -72.172617
bba.bbb.bbc.bba.bbb.bbc.bba.bbb.bbc.bba.bbb.bbc.bba.bbb.aut.aob.aob -34.725769 -56.660220
aiw.aix.aiw.aix -10.626787 -16.330278
ago.ait -10.210645 -9.899040
afp.afp.aus.atk.aus.afp.bba -29.735599 -29.659995
aut.aut.aut.aob.aob.aob.bba.bbb.bbc.bba.bbb -36.704329 -37.086783
afp.aus.atk.aus.afp.baw.baw.bax -35.251406 -33.930164
amb.acs.amb.acs.ats -16.962700 -23.783515
agc.agc -6.542484 -9.496428
agc.agt.ags -15.949476 -15.964851
afp.afq.afq.afs.aft.afu.afs.aft.afu -32.636527 -42.691206
agp -5.241864 -5.910409
ban.axd.ban.aiy.ajd -25.780819 -24.430275
baw -4.238312 -5.910409
aut.aut -5.587726 -7.889279
aiw.aix -8.531867 -8.604430
acb.ace.ave.aut.aut.aob.aob.aob.ave -38.269232 -38.888440
ajf.axd.aqf.axr -25.428166 -25.814268
acb.ban -11.034890 -11.616692
ait.ait.aiw.aix.aiw.aix.aiw.aix.aiy.ajd.aiy.ajd.aiy.ajd.aiz.aje.aja -56.530020 -66.952634
agc.ago.agp.agq.agr.agf.agq.agr -41.823996 -41.362917
aja.aiz.aje.aii.aiy.ajd.aiy.ajd.aiu.ago.ait -46.321941 -49.317963
agq -5.189100 -5.659095
ago -4.851984 -5.291370
afp.afn.afo.afn.afp.afn.afo.afn.afp -25.783237 -40.268125
bbd.bbe.bbd.bbe.bbd.bbf.bbf.bbd.baw.baw.bax.bay.baw.baw.bax.bay.baw -56.680404 -75.943735
agc.agc -6.542484 -9.496428
aut -3.555535 -4.560483
aut.aut.bba.bbb.bbc.bba.bbb.bbc.bba.bbb.bbc.baw.baw -37.811213 -43.426784
avb.avc.avb.avc -11.340675 -17.581903
aft.afu.afq.afr -20.696177 -19.473908
aut.aut.aut.afp.bba.bbb.bbc -24.198468 -24.705392
ait.ait -6.652841 -9.519551
